Neighborhood,Income Index,Average Green Score,Average Income
Boeimeer,3.0,29.88566922925291,"€42,800 to €59,800"
Heuvel,2.0,21.625528455284552,"€30,300 to €42,800"
Heksenwiel,3.0,29.244967320261438,"€42,800 to €59,800"
Teteringen,3.0,29.89101827009071,"€42,800 to €59,800"
Belcrum,3.0,20.38279569892473,"€42,800 to €59,800"
Muizenberg,3.0,27.76642832822608,"€42,800 to €59,800"
Kievitsloop,3.0,27.78256611165524,"€42,800 to €59,800"
Ulvenhout,3.0,32.0020325203252,"€42,800 to €59,800"
Bavel,3.0,31.185797101449275,"€42,800 to €59,800"
Ginneken,4.0,26.628676470588236,"€59,800 +"
Prinsenbeek,3.0,26.61955584303579,"€42,800 to €59,800"
Blauwe Kei,3.0,26.986846659743858,"€42,800 to €59,800"
Heusdenhout,2.0,31.142857142857142,"€30,300 to €42,800"
Hoogeind,,23.403772683858644,
Gageldonk,2.0,29.70777777777778,"€30,300 to €42,800"
Ypelaar,2.0,28.569033530571993,"€30,300 to €42,800"
Doornbos-Linie,2.0,26.46479968883703,"€30,300 to €42,800"
Brabantpark,2.0,27.51391207568169,"€30,300 to €42,800"
Mastbos,,41.32246913580247,
Buitengebied Ulvenhout,,41.30465367965368,
Princenhage,3.0,26.852681039248203,"€42,800 to €59,800"
Geeren-noord,,26.804318488529013,
Buitengebied Prinsenbeek,,40.963345076329475,
Sportpark,3.0,28.805467091295117,"€42,800 to €59,800"
Kroeten,3.0,24.99090318388564,"€42,800 to €59,800"
Buitengebied Teteringen,,40.13528932355338,
Effen-Rith,,35.00952380952381,
Haagpoort,2.0,19.097624350408314,"€30,300 to €42,800"
Valkenberg,2.0,26.190210656753408,"€30,300 to €42,800"
Wisselaar,2.0,28.288659793814432,"€30,300 to €42,800"
Ruitersbos,4.0,38.093552908199015,"€59,800 +"
City,2.0,9.635575942915393,"€30,300 to €42,800"
Krogten,,26.253685211602473,
Kesteren,2.0,26.426895799236224,"€30,300 to €42,800"
Emer,,27.266203703703702,
Zandberg,4.0,22.34886561954625,"€59,800 +"
Hazeldonk,,26.984513274336283,
Nieuw Wolfslaar,4.0,26.528971962616822,"€59,800 +"
Liesbos,,39.7460606060606,
Tuinzigt,2.0,18.14349467902506,"€30,300 to €42,800"
Waterdonken,3.0,15.936111111111112,"€42,800 to €59,800"
ChassÃ©,,15.0798755186722,
Overakker,3.0,31.228700431880643,"€42,800 to €59,800"
Vuchtpolder,,43.81327498176513,
Schorsmolen,,15.077262693156733,
Steenakker,,22.538314176245212,
Geeren-zuid,1.0,28.309640522875817,"€21,100 to €30,300"
Buitengebied Bavel,,40.25589743589744,
Biesdonk,2.0,27.351626016260163,"€30,300 to €42,800"
Hagebeemd,3.0,41.98370927318296,"€42,800 to €59,800"
Overkroeten,,26.828275529865124,
Fellenoord,1.0,18.03529411764706,"€21,100 to €30,300"
Heilaar,4.0,24.58492279745686,"€59,800 +"
Station,2.0,17.123076923076923,"€30,300 to €42,800"
Westerpark,3.0,26.965333333333334,"€42,800 to €59,800"
Moleneind-oost,,21.94298245614035,
,,,
