Neighborhood;Income
City;2
Valkenberg;2
Chasse;2
Fellenoord;1
Schormolen;1
Station;2
Brabantpark;2
Sportpark;3
Zandberg;4
Boeimeer;3
Heuvel;2
Haagpoort;2
Tuinzigt;2
Westerpark;3
Heilaar;4
Princenhage;3
Ruitersbos;4
Ginneken;4
Blauwe Kei;3
Ypelaar;2
Overakker;3
Ulvenhout;3
Nieuw Wolfslaar;4
Bavel;3
Heusdenhout;2
Prinsenbeek;3
Kesteren;2
Gageldonk;2
Kievitsloop;3
Muizenberg;3
Kroeten;3
Hagebeemd;3
Heksenwiel;3
Belcrum;3
Doornbos-Linie;2
Biesdonk;2
Geeren-zuid;1
Wisselaar;2
Waterdonken;3
Teteringen;3
Geeren-nord;2
