Districts and neighbourhoods,Registered nuisance (number)
Breda,5672
Breda centrum,1170
Valkenberg,121
Chassé,186
Fellenoord,108
Schorsmolen,277
Station,158
City,320
Breda noord,932
Belcrum,173
Doornbos-Linie,163
Biesdonk,123
Geeren-zuid,105
Wisselaar,123
Krogten,131
Geeren-noord,103
Waterdonken,11
Breda oost,672
Brabantpark,288
Sportpark,152
Zandberg,90
Heusdenhout,115
Moleneind-oost,4
Hoogeind,23
Breda zuid-oost,343
Blauwe Kei,83
Ypelaar,115
Overakker,39
Ginneken,78
Mastbos,28
Breda zuid,186
Boeimeer,147
Ruitersbos,39
Breda west,1141
Haagpoort,86
Heuvel,373
Tuinzigt,296
Princenhage,210
Westerpark,81
Heilaar,24
Hazeldonk,16
Steenakker,25
Effen-Rith,13
Liesbos,17
Breda noord-west,836
Gageldonk,94
Kievitsloop,71
Kesteren,288
Muizenberg,146
Heksenwiel,96
Overkroeten,47
Kroeten,40
Emer,44
Hagebeemd,10
Bavel,81
Bavel,48
Nieuw Wolfslaar,24
Buitengebied Bavel,9
Ulvenhout,83
Ulvenhout,74
Buitengebied Ulvenhout,9
Prinsenbeek,136
Prinsenbeek,128
Buitengebied Prinsenbeek,8
Teteringen,89
Teteringen,82
Vuchtpolder,2
Buitengebied Teteringen,5
Breda,1800
Breda centrum,358
Valkenberg,32
Chassé,80
Fellenoord,39
Schorsmolen,92
Station,49
City,66
Breda noord,255
Belcrum,62
Doornbos-Linie,54
Biesdonk,31
Geeren-zuid,25
Wisselaar,47
Krogten,21
Geeren-noord,14
Waterdonken,1
Breda oost,227
Brabantpark,95
Sportpark,70
Zandberg,16
Heusdenhout,43
Moleneind-oost,0
Hoogeind,3
Breda zuid-oost,134
Blauwe Kei,33
Ypelaar,53
Overakker,10
Ginneken,24
Mastbos,14
Breda zuid,60
Boeimeer,47
Ruitersbos,13
Breda west,339
Haagpoort,21
Heuvel,121
Tuinzigt,81
Princenhage,60
Westerpark,25
Heilaar,5
Hazeldonk,11
Steenakker,5
Effen-Rith,3
Liesbos,7
Breda noord-west,298
Gageldonk,40
Kievitsloop,28
Kesteren,110
Muizenberg,23
Heksenwiel,43
Overkroeten,14
Kroeten,15
Emer,22
Hagebeemd,3
Bavel,21
Bavel,16
Nieuw Wolfslaar,2
Buitengebied Bavel,3
Ulvenhout,24
Ulvenhout,21
Buitengebied Ulvenhout,3
Prinsenbeek,48
Prinsenbeek,46
Buitengebied Prinsenbeek,2
Teteringen,35
Teteringen,35
Vuchtpolder,0
Buitengebied Teteringen,0
Breda,889
Breda centrum,62
Valkenberg,3
Chassé,16
Fellenoord,4
Schorsmolen,10
Station,5
City,24
Breda noord,185
Belcrum,13
Doornbos-Linie,6
Biesdonk,17
Geeren-zuid,32
Wisselaar,49
Krogten,15
Geeren-noord,49
Waterdonken,4
Breda oost,106
Brabantpark,47
Sportpark,33
Zandberg,13
Heusdenhout,6
Moleneind-oost,0
Hoogeind,7
Breda zuid-oost,77
Blauwe Kei,14
Ypelaar,27
Overakker,14
Ginneken,19
Mastbos,3
Breda zuid,39
Boeimeer,34
Ruitersbos,5
Breda west,246
Haagpoort,21
Heuvel,75
Tuinzigt,59
Princenhage,34
Westerpark,37
Heilaar,8
Hazeldonk,0
Steenakker,6
Effen-Rith,3
Liesbos,3
Breda noord-west,92
Gageldonk,8
Kievitsloop,10
Kesteren,27
Muizenberg,10
Heksenwiel,14
Overkroeten,9
Kroeten,5
Emer,5
Hagebeemd,4
Bavel,26
Bavel,15
Nieuw Wolfslaar,10
Buitengebied Bavel,1
Ulvenhout,10
Ulvenhout,9
Buitengebied Ulvenhout,1
Prinsenbeek,19
Prinsenbeek,18
Buitengebied Prinsenbeek,1
Teteringen,26
Teteringen,23
Vuchtpolder,0
Buitengebied Teteringen,3
Breda,675
Breda centrum,234
Valkenberg,28
Chassé,22
Fellenoord,15
Schorsmolen,33
Station,27
City,109
Breda noord,126
Belcrum,36
Doornbos-Linie,24
Biesdonk,18
Geeren-zuid,7
Wisselaar,9
Krogten,18
Geeren-noord,13
Waterdonken,1
Breda oost,78
Brabantpark,40
Sportpark,12
Zandberg,11
Heusdenhout,8
Moleneind-oost,2
Hoogeind,5
Breda zuid-oost,25
Blauwe Kei,7
Ypelaar,8
Overakker,1
Ginneken,3
Mastbos,6
Breda zuid,25
Boeimeer,18
Ruitersbos,7
Breda west,118
Haagpoort,4
Heuvel,25
Tuinzigt,43
Princenhage,26
Westerpark,2
Heilaar,3
Hazeldonk,4
Steenakker,5
Effen-Rith,3
Liesbos,3
Breda noord-west,50
Gageldonk,8
Kievitsloop,10
Kesteren,14
Muizenberg,8
Heksenwiel,4
Overkroeten,0
Kroeten,1
Emer,4
Hagebeemd,1
Bavel,4
Bavel,2
Nieuw Wolfslaar,2
Buitengebied Bavel,0
Ulvenhout,4
Ulvenhout,3
Buitengebied Ulvenhout,1
Prinsenbeek,7
Prinsenbeek,7
Buitengebied Prinsenbeek,0
Teteringen,3
Teteringen,2
Vuchtpolder,1
Buitengebied Teteringen,0
Breda,498
Breda centrum,170
Valkenberg,22
Chassé,22
Fellenoord,4
Schorsmolen,24
Station,40
City,58
Breda noord,158
Belcrum,48
Doornbos-Linie,29
Biesdonk,8
Geeren-zuid,12
Wisselaar,0
Krogten,59
Geeren-noord,2
Waterdonken,0
Breda oost,50
Brabantpark,20
Sportpark,10
Zandberg,4
Heusdenhout,11
Moleneind-oost,2
Hoogeind,3
Breda zuid-oost,25
Blauwe Kei,13
Ypelaar,3
Overakker,0
Ginneken,4
Mastbos,5
Breda zuid,12
Boeimeer,11
Ruitersbos,1
Breda west,45
Haagpoort,4
Heuvel,5
Tuinzigt,20
Princenhage,4
Westerpark,0
Heilaar,3
Hazeldonk,1
Steenakker,7
Effen-Rith,0
Liesbos,1
Breda noord-west,21
Gageldonk,0
Kievitsloop,0
Kesteren,2
Muizenberg,4
Heksenwiel,2
Overkroeten,0
Kroeten,0
Emer,13
Hagebeemd,0
Bavel,1
Bavel,0
Nieuw Wolfslaar,0
Buitengebied Bavel,1
Ulvenhout,5
Ulvenhout,3
Buitengebied Ulvenhout,2
Prinsenbeek,8
Prinsenbeek,8
Buitengebied Prinsenbeek,0
Teteringen,3
Teteringen,3
Vuchtpolder,0
Buitengebied Teteringen,0
Breda,49
Breda centrum,32
Valkenberg,3
Chassé,0
Fellenoord,2
Schorsmolen,6
Station,2
City,19
Breda noord,6
Belcrum,3
Doornbos-Linie,1
Biesdonk,0
Geeren-zuid,0
Wisselaar,0
Krogten,2
Geeren-noord,0
Waterdonken,0
Breda oost,1
Brabantpark,0
Sportpark,1
Zandberg,0
Heusdenhout,0
Moleneind-oost,0
Hoogeind,0
Breda zuid-oost,2
Blauwe Kei,0
Ypelaar,2
Overakker,0
Ginneken,0
Mastbos,0
Breda zuid,0
Boeimeer,0
Ruitersbos,0
Breda west,4
Haagpoort,1
Heuvel,1
Tuinzigt,1
Princenhage,1
Westerpark,0
Heilaar,0
Hazeldonk,0
Steenakker,0
Effen-Rith,0
Liesbos,0
Breda noord-west,0
Gageldonk,0
Kievitsloop,0
Kesteren,0
Muizenberg,0
Heksenwiel,0
Overkroeten,0
Kroeten,0
Emer,0
Hagebeemd,0
Bavel,2
Bavel,2
Nieuw Wolfslaar,0
Buitengebied Bavel,0
Ulvenhout,1
Ulvenhout,0
Buitengebied Ulvenhout,1
Prinsenbeek,1
Prinsenbeek,1
Buitengebied Prinsenbeek,0
Teteringen,0
Teteringen,0
Vuchtpolder,0
Buitengebied Teteringen,0
Breda,27
Breda centrum,10
Valkenberg,0
Chassé,0
Fellenoord,0
Schorsmolen,4
Station,0
City,6
Breda noord,0
Belcrum,0
Doornbos-Linie,0
Biesdonk,0
Geeren-zuid,0
Wisselaar,0
Krogten,0
Geeren-noord,0
Waterdonken,0
Breda oost,2
Brabantpark,1
Sportpark,0
Zandberg,1
Heusdenhout,0
Moleneind-oost,0
Hoogeind,0
Breda zuid-oost,6
Blauwe Kei,3
Ypelaar,0
Overakker,0
Ginneken,3
Mastbos,0
Breda zuid,0
Boeimeer,0
Ruitersbos,0
Breda west,6
Haagpoort,0
Heuvel,0
Tuinzigt,2
Princenhage,4
Westerpark,0
Heilaar,0
Hazeldonk,0
Steenakker,0
Effen-Rith,0
Liesbos,0
Breda noord-west,2
Gageldonk,1
Kievitsloop,0
Kesteren,0
Muizenberg,0
Heksenwiel,1
Overkroeten,0
Kroeten,0
Emer,0
Hagebeemd,0
Bavel,0
Bavel,0
Nieuw Wolfslaar,0
Buitengebied Bavel,0
Ulvenhout,1
Ulvenhout,1
Buitengebied Ulvenhout,0
Prinsenbeek,0
Prinsenbeek,0
Buitengebied Prinsenbeek,0
Teteringen,0
Teteringen,0
Vuchtpolder,0
Buitengebied Teteringen,0
Breda,15
Breda centrum,1
Valkenberg,0
Chassé,0
Fellenoord,0
Schorsmolen,0
Station,0
City,1
Breda noord,1
Belcrum,0
Doornbos-Linie,0
Biesdonk,0
Geeren-zuid,0
Wisselaar,0
Krogten,1
Geeren-noord,0
Waterdonken,0
Breda oost,3
Brabantpark,0
Sportpark,1
Zandberg,0
Heusdenhout,0
Moleneind-oost,0
Hoogeind,2
Breda zuid-oost,1
Blauwe Kei,0
Ypelaar,1
Overakker,0
Ginneken,0
Mastbos,0
Breda zuid,0
Boeimeer,0
Ruitersbos,0
Breda west,0
Haagpoort,0
Heuvel,0
Tuinzigt,0
Princenhage,0
Westerpark,0
Heilaar,0
Hazeldonk,0
Steenakker,0
Effen-Rith,0
Liesbos,0
Breda noord-west,1
Gageldonk,0
Kievitsloop,0
Kesteren,0
Muizenberg,0
Heksenwiel,0
Overkroeten,1
Kroeten,0
Emer,0
Hagebeemd,0
Bavel,3
Bavel,1
Nieuw Wolfslaar,1
Buitengebied Bavel,1
Ulvenhout,0
Ulvenhout,0
Buitengebied Ulvenhout,0
Prinsenbeek,5
Prinsenbeek,5
Buitengebied Prinsenbeek,0
Teteringen,0
Teteringen,0
Vuchtpolder,0
Buitengebied Teteringen,0
Breda,1719
Breda centrum,303
Valkenberg,33
Chassé,46
Fellenoord,44
Schorsmolen,108
Station,35
City,37
Breda noord,201
Belcrum,11
Doornbos-Linie,49
Biesdonk,49
Geeren-zuid,29
Wisselaar,18
Krogten,15
Geeren-noord,25
Waterdonken,5
Breda oost,205
Brabantpark,85
Sportpark,25
Zandberg,45
Heusdenhout,47
Moleneind-oost,0
Hoogeind,3
Breda zuid-oost,73
Blauwe Kei,13
Ypelaar,21
Overakker,14
Ginneken,25
Mastbos,0
Breda zuid,50
Boeimeer,37
Ruitersbos,13
Breda west,383
Haagpoort,35
Heuvel,146
Tuinzigt,90
Princenhage,81
Westerpark,17
Heilaar,5
Hazeldonk,0
Steenakker,2
Effen-Rith,4
Liesbos,3
Breda noord-west,372
Gageldonk,37
Kievitsloop,23
Kesteren,135
Muizenberg,101
Heksenwiel,32
Overkroeten,23
Kroeten,19
Emer,0
Hagebeemd,2
Bavel,24
Bavel,12
Nieuw Wolfslaar,9
Buitengebied Bavel,3
Ulvenhout,38
Ulvenhout,37
Buitengebied Ulvenhout,1
Prinsenbeek,48
Prinsenbeek,43
Buitengebied Prinsenbeek,5
Teteringen,22
Teteringen,19
Vuchtpolder,1
Buitengebied Teteringen,2
