AntwoordKey,Antwoordoptie,Antwoordomschrijving
-1,Onbekend,Onbekend
1,1,Ja
2,2,Nee
3,3,Weet niet/geen mening
4,1,Ja
5,2,Nee
6,3,Weet niet/geen mening
7,1,heb ik gedaan
8,2,"nog niet gedaan, maar ben ik wel toe bereid"
9,3,niet gedaan en wil ik ook niet doen
10,4,weet (nog) niet
11,1,heb ik gedaan
12,2,"nog niet gedaan, maar ben ik wel toe bereid"
13,3,niet gedaan en wil ik ook niet doen
14,4,weet (nog) niet
15,1,heb ik gedaan
16,2,"nog niet gedaan, maar ben ik wel toe bereid"
17,3,niet gedaan en wil ik ook niet doen
18,4,weet (nog) niet
19,1,heb ik gedaan
20,2,"nog niet gedaan, maar ben ik wel toe bereid"
21,3,niet gedaan en wil ik ook niet doen
22,4,weet (nog) niet
23,1,heb ik gedaan
24,2,"nog niet gedaan, maar ben ik wel toe bereid"
25,3,niet gedaan en wil ik ook niet doen
26,4,weet (nog) niet
27,1,Ja
28,2,Nee
29,1,Nieuwe Meidoorn
30,10,Liesbos
31,11,Pekhoeve
32,12,Vianden
33,13,Poelewei
34,14,3 Linden
35,15,Geeren-Noord
36,16,Scheldestraat
37,17,Kraaienest
38,18,Wegwijzer
39,19,Dobbelsteen
40,2,Huis van de Heuvel
41,20,Biesdonk
42,21,Zandberg
43,22,Kievietslaar
44,23,De Blaker
45,24,Zilverberk
46,25,Geeren-Zuid (ONS)
47,26,Toma (Batu Karang)
48,27,Ik weet het niet
49,3,Noorderlicht
50,4,æt Web
51,5,Olympia
52,6,Beemdentil
53,7,Belcrum
54,8,æt Klooster
55,9,De Koe
56,1,(bijna) Elke dag
57,2,(bijna) Elke week
58,3,(bijna) Elke maand
59,4,(bijna) Elke 3 maanden
60,5,1 a 2 keer
61,0,Not Answered
62,1,Answered
63,,
64,0,Not Answered
65,1,Answered
66,0,Not Answered
67,1,Answered
68,0,Not Answered
69,1,Answered
70,0,Not Answered
71,1,Answered
72,0,Not Answered
73,1,Answered
74,0,Not Answered
75,1,Answered
76,0,Not Answered
77,1,Answered
78,0,Not Answered
79,1,Answered
80,1,komt vaak voor
81,2,komt soms voor
82,3,komt (bijna) nooit voor
83,4,weet niet/geen mening
84,1,komt vaak voor
85,2,komt soms voor
86,3,komt (bijna) nooit voor
87,4,weet niet/geen mening
88,1,komt vaak voor
89,2,komt soms voor
90,3,komt (bijna) nooit voor
91,4,weet niet/geen mening
92,1,komt vaak voor
93,2,komt soms voor
94,3,komt (bijna) nooit voor
95,4,weet niet/geen mening
96,1,komt vaak voor
97,2,komt soms voor
98,3,komt (bijna) nooit voor
99,4,weet niet/geen mening
100,1,komt vaak voor
101,2,komt soms voor
102,3,komt (bijna) nooit voor
103,4,weet niet/geen mening
104,1,komt vaak voor
105,2,komt soms voor
106,3,komt (bijna) nooit voor
107,4,weet niet/geen mening
108,1,komt vaak voor
109,2,komt soms voor
110,3,komt (bijna) nooit voor
111,4,weet niet/geen mening
112,1,komt vaak voor
113,2,komt soms voor
114,3,komt (bijna) nooit voor
115,4,weet niet/geen mening
116,1,komt vaak voor
117,2,komt soms voor
118,3,komt (bijna) nooit voor
119,4,weet niet/geen mening
120,1,komt vaak voor
121,2,komt soms voor
122,3,komt (bijna) nooit voor
123,4,weet niet/geen mening
124,1,komt vaak voor
125,2,komt soms voor
126,3,komt (bijna) nooit voor
127,4,weet niet/geen mening
128,1,komt vaak voor
129,2,komt soms voor
130,3,komt (bijna) nooit voor
131,4,weet niet/geen mening
132,1,komt vaak voor
133,2,komt soms voor
134,3,komt (bijna) nooit voor
135,4,weet niet/geen mening
136,1,komt vaak voor
137,2,komt soms voor
138,3,komt (bijna) nooit voor
139,4,weet niet/geen mening
140,1,komt vaak voor
141,2,komt soms voor
142,3,komt (bijna) nooit voor
143,4,weet niet/geen mening
144,1,komt vaak voor
145,2,komt soms voor
146,3,komt (bijna) nooit voor
147,4,weet niet/geen mening
148,1,komt vaak voor
149,2,komt soms voor
150,3,komt (bijna) nooit voor
151,4,weet niet/geen mening
152,1,komt vaak voor
153,2,komt soms voor
154,3,komt (bijna) nooit voor
155,4,weet niet/geen mening
156,1,Ja
157,2,Nee
158,3,Weet niet/geen mening
159,1,Vaak
160,2,Soms
161,3,Zelden
162,4,Weet niet/geen mening
163,1,Ja
164,2,Nee
165,3,Weet niet/geen mening
166,1,Vaak
167,2,Soms
168,3,Zelden
169,4,Weet niet/geen mening
170,1,komt vaak voor
171,2,komt soms voor
172,3,komt (bijna) nooit voor
173,4,weet niet/geen mening
174,1,komt vaak voor
175,2,komt soms voor
176,3,komt (bijna) nooit voor
177,4,weet niet/geen mening
178,1,komt vaak voor
179,2,komt soms voor
180,3,komt (bijna) nooit voor
181,4,weet niet/geen mening
182,1,komt vaak voor
183,2,komt soms voor
184,3,komt (bijna) nooit voor
185,4,weet niet/geen mening
186,1,komt vaak voor
187,2,komt soms voor
188,3,komt (bijna) nooit voor
189,4,weet niet/geen mening
190,1,komt vaak voor
191,2,komt soms voor
192,3,komt (bijna) nooit voor
193,4,weet niet/geen mening
194,1,nee
195,2,"ja, in de eigen buurt"
196,3,"ja, elders in de gemeente"
197,4,"ja, maar niet in de eigen gemeente"
198,1,nee
199,2,"ja, in de eigen buurt"
200,3,"ja, elders in de gemeente"
201,4,"ja, maar niet in de eigen gemeente"
202,1,nee
203,2,"ja, in de eigen buurt"
204,3,"ja, elders in de gemeente"
205,4,"ja, maar niet in de eigen gemeente"
206,1,nee
207,2,"ja, in de eigen buurt"
208,3,"ja, elders in de gemeente"
209,4,"ja, maar niet in de eigen gemeente"
210,1,nee
211,2,"ja, in de eigen buurt"
212,3,"ja, elders in de gemeente"
213,4,"ja, maar niet in de eigen gemeente"
214,1,nee
215,2,"ja, in de eigen buurt"
216,3,"ja, elders in de gemeente"
217,4,"ja, maar niet in de eigen gemeente"
218,1,nee
219,2,"ja, in de eigen buurt"
220,3,"ja, elders in de gemeente"
221,4,"ja, maar niet in de eigen gemeente"
222,1,nee
223,2,"ja, in de eigen buurt"
224,3,"ja, elders in de gemeente"
225,4,"ja, maar niet in de eigen gemeente"
226,1,nee
227,2,"ja, in de eigen buurt"
228,3,"ja, elders in de gemeente"
229,4,"ja, maar niet in de eigen gemeente"
230,1,nee
231,2,"ja, in de eigen buurt"
232,3,"ja, elders in de gemeente"
233,4,"ja, maar niet in de eigen gemeente"
234,1,nee
235,2,"ja, in de eigen buurt"
236,3,"ja, elders in de gemeente"
237,4,"ja, maar niet in de eigen gemeente"
238,1,nee
239,2,"ja, in de eigen buurt"
240,3,"ja, elders in de gemeente"
241,4,"ja, maar niet in de eigen gemeente"
242,1,nee
243,2,"ja, in de eigen buurt"
244,3,"ja, elders in de gemeente"
245,4,"ja, maar niet in de eigen gemeente"
246,1,ja
247,2,nee
248,1,ja
249,2,nee
250,1,ja
251,2,nee
252,1,ja
253,2,nee
254,1,ja
255,2,nee
256,1,ja
257,2,nee
258,1,ja
259,2,nee
260,,
261,1,ja
262,2,nee
263,1,ja
264,2,nee
265,1,ja
266,2,nee
267,1,"Ja, ik heb deze goederen/diensten online gekocht of verkocht"
268,2,"Nee, ik heb deze goederen niet online gekocht of verkocht"
269,1,ja
270,2,nee
271,1,ja
272,2,nee
273,,
274,1,komt niet voor
275,2,komt voor en maakt me bang
276,3,komt voor en maakt me boos
277,4,komt voor en geeft me een andere emotie
278,5,komt voor en doet me niet veel
279,6,weet niet of het voorkomt
280,1,komt niet voor
281,2,komt voor en maakt me bang
282,3,komt voor en maakt me boos
283,4,komt voor en geeft me een andere emotie
284,5,komt voor en doet me niet veel
285,6,weet niet of het voorkomt
286,1,komt niet voor
287,2,komt voor en maakt me bang
288,3,komt voor en maakt me boos
289,4,komt voor en geeft me een andere emotie
290,5,komt voor en doet me niet veel
291,6,weet niet of het voorkomt
292,1,komt niet voor
293,2,komt voor en maakt me bang
294,3,komt voor en maakt me boos
295,4,komt voor en geeft me een andere emotie
296,5,komt voor en doet me niet veel
297,6,weet niet of het voorkomt
298,1,komt niet voor
299,2,komt voor en maakt me bang
300,3,komt voor en maakt me boos
301,4,komt voor en geeft me een andere emotie
302,5,komt voor en doet me niet veel
303,6,weet niet of het voorkomt
304,1,komt niet voor
305,2,komt voor en maakt me bang
