VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
-1,Onb,Onbekend,Onbekend
1,Waar of wanneer was dit? ,Bij het vinden van een (huur)huis (herberekend zonder nvt),Oneerlijk/ongelijk behandeld bij vinden van een (huur)huis (herberekend zonder nvt)
2,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid. (herberekend zonder nvt),De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid (herberekend zonder nvt)
3,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",mensen in de buurt,Kan terugvallen op mensen in de buurt
4,"Wanneer u hulp of zorg nodig heeft, kunt u dan terugvallen op:",vrienden,Kan terugvallen op vrienden
5,Krijgt u ergens hulp bij?,Uw lichamelijke gezondheid,Krijg hulp bij lichamelijke gezondheid
6,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op de sportvereniging,Ontmoet de mensen uit mijn buurt bij de sportvereniging
7,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?,,Hoe ziet de samenstelling van uw huishouden op dit adres er uit?
8,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Ik ben niet actief geweest in het verenigingsleven,Niet actief in verenigingsleven
9,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Handicap / Chronische ziekte,Gevoel oneerlijk/ongelijk behandeld te zijn op geslacht
10,Wat vindt u van de volgende stellingen over uw huidige woning?,De indeling is geschikt voor mij/mijn gezin.,Indeling geschikt voor mij/mijn gezin
11,Wat heeft u de afgelopen 12 maanden gedaan en wat zou u willen doen voor uw buurt?,Helpen met het onderhoud van het openbaar groen.,Helpen met onderhoud van het openbaar groen
12,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de verkeersveiligheid in de buurt,Tevreden over de verkeersveiligheid in buurt
13,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Buurtbewoners gaan op een prettige manier met elkaar om.,Buurtbewoners gaan op een prettige manier met elkaar om
14,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Levensovertuiging / religie / geloof,Gevoel oneerlijk/ongelijk behandeld te zijn op levensovertuiging/religie
15,Waarom heeft u geen melding gedaan bij de gemeente?,Ik wist niet dat je hierover een melding bij de gemeente kon doen,Wist niet dat je melding kon doen bij de gemeente
16,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Beschadiging of vernieling aan auto's en diefstal vanaf,Slachtoffer geweest  van beschadiging/vernieling aan auto's
17,Heeft u voor uw woning:,Heeft u: een inbraak-alarminstallatie,Inbraak-alarminstallatie voor mijn woning
18,In welk soort woonomgeving woont u op dit moment?,Open antwoord bij gesloten vraag,
19,"Is uw buurt in de afgelopen 2 jaar veranderd wat betreft uiterlijk, sfeer en/of veiligheid?",De veiligheid,De veiligheid is veranderd in mijn buurt
20,Kunt u zich goed redden als het gaat om:,het aangaan en onderhouden van sociale contacten,Kan zich goed redden met het aangaan en onderhouden van sociale contacten
21,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende groen.,In mijn buurt is voldoende groen
22,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Dronken mensen op straat,Dronken mensen op straat komt (soms) vaak voor in mijn buurt
23,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik voel me thuis bij de mensen die in de buurt wonen.,Voel me thuis bij de mensen die in de buurt wonen
24,Bent u iemand dieàà,zich door moeilijke tijden heen weet te slaan,Weet zich door moeilijke tijden heen te slaan
25,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
26,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Ergens anders:,Ontmoet de mensen uit mijn buurt ergens anders
27,In hoeverre kunt u zich vinden in de volgende uitspraken?,In het afgelopen jaar ben ik mij meer betrokken gaan voelen bij de buurt waar ik woon,Voelt meer betrokken bij de buurt waar ik woon
28,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",Er zijn voldoende mensen met wie ik mij nauw verbonden voel.,Voldoende mensen met wie ik mij nauw verbonden voel
