,id_composite_indicator,indicator_description
0,1,Discrimination
1,2,Discrimination
2,3,Discrimination
3,4,Discrimination
4,5,Discrimination
5,6,Discrimination
6,7,Discrimination
7,8,Discrimination
8,9,Discrimination
9,10,Discrimination
10,11,Discrimination
11,12,Discrimination
12,13,Discrimination
13,14,Discrimination
14,15,Discrimination
15,16,Discrimination
16,17,Discrimination
17,18,Discrimination
18,19,Discrimination
19,20,Discrimination
20,21,Discrimination
21,22,Discrimination
22,23,Discrimination
23,24,Discrimination
24,25,Discrimination
25,26,Discrimination
26,27,Discrimination
27,28,Discrimination
28,29,Threat
29,30,Threat
30,31,Threat
31,32,Threat
32,33,Physical quality of neighborhood facilities
33,34,Physical quality of neighborhood facilities
34,35,Physical quality of neighborhood facilities
35,36,Physical quality of neighborhood facilities
36,37,Percentage of caregivers
37,38,Percentage of caregivers
38,39,Percentage of caregivers
39,40,Percentage of caregivers
40,41,Percentage participating
41,42,Percentage participating
42,43,Percentage participating
43,44,Percentage participating
44,45,Positive social development
45,46,Positive social development
46,47,Positive social development
47,48,Positive social development
48,49,Violent crime victim
49,50,Violent crime victim
50,51,Violent crime victim
51,52,Violent crime victim
52,53,Violent crime victim in own neighbourhood
53,54,Violent crime victim in own neighbourhood
54,55,Violent crime victim in own neighbourhood
55,56,Violent crime victim in own neighbourhood
56,57,Victim of (attempted) burglary without theft
57,58,Victim of (attempted) burglary without theft
58,59,Victim of (attempted) burglary without theft
59,60,Victim of (attempted) burglary without theft
60,61,Victim of (attempted) burglary without theft
61,62,Victim of (attempted) burglary without theft
62,63,Victim of (attempted) burglary without theft
63,64,Victim of (attempted) burglary without theft
64,65,Victimization total
65,66,Victimization total
66,67,Victimization total
67,68,Victim of vandalism
68,69,Victim of vandalism
69,70,Victim of vandalism
70,71,Victim of vandalism
71,72,Victim of vandalism in own neighborhood
72,73,Victim of vandalism in own neighborhood
73,74,Victim of vandalism in own neighborhood
74,75,Victim of vandalism in own neighborhood
75,76,Property crime victim regardless of location
76,77,Property crime victim regardless of location
77,78,Property crime victim regardless of location
78,79,Property crime victim in own neighbourhood
79,80,Property crime victim in own neighbourhood
80,81,Property crime victim in own neighbourhood
81,82,Pickpocketing victim
82,83,Pickpocketing victim
83,84,Pickpocketing victim
84,85,Pickpocketing victim
85,86,Pickpocketing victim in their own neighbourhood
86,87,Pickpocketing victim in their own neighbourhood
87,88,Pickpocketing victim in their own neighbourhood
88,89,Pickpocketing victim in their own neighbourhood
89,90,People with a social safety net
90,91,People with a social safety net
91,92,People with a social safety net
92,93,People with a social safety net
93,94,Social nuisance
94,95,Social nuisance
95,96,Social nuisance
96,97,Social quality of living environment (social cohesion)
97,98,Social quality of living environment (social cohesion)
98,99,Social quality of living environment (social cohesion)
99,100,Social quality of living environment (social cohesion)
100,101,Social participation
101,102,Social participation
102,103,Social participation
103,104,Social participation
104,105,Traffic nuisance
105,106,Traffic nuisance
106,107,Traffic nuisance
107,108,Dilapidation
108,109,Dilapidation
109,110,Dilapidation
110,111,Dilapidation
111,112,Dilapidation
112,113,Adaptation/Avoidance Behavior
113,114,Adaptation/Avoidance Behavior
114,115,Adaptation/Avoidance Behavior
115,116,Adaptation/Avoidance Behavior
116,117,Percentage of volunteer work (incl incidental)
117,118,Percentage of volunteer work (incl incidental)
118,119,Percentage of volunteer work (incl incidental)
119,120,Percentage of volunteer work (incl incidental)
120,121,resilience
121,122,resilience
122,123,resilience
123,124,resilience
124,125,Percentage employed
125,126,Percentage employed
126,127,Percentage employed
127,128,Percentage employed
128,129,Self-organizing ability
129,130,Self-organizing ability
130,131,Self-organizing ability
131,132,Self-organizing ability
132,133,Self-sustainability
133,134,Self-sustainability
134,135,Self-sustainability
135,136,Self-sustainability
136,137,Self-sufficient ability
137,138,Self-sufficient ability
138,139,Self-sufficient ability
139,140,Self-sufficient ability
