,Breda centrum,Breda noord,Breda oost,Breda zuid-oost,Breda zuid,Breda west,Breda noord-west,Bavel,Ulvenhout,Prinsenbeek,Teteringen
2000,1.45,840,1.45,870,320,1.18,1,270,230,440,220
2001,1.43,840,1.47,840,320,1.18,1.05,270,230,440,220
2002,1.42,860,1.45,860,340,1.22,1.11,290,240,450,240
2003,1.4,880,1.48,870,350,1.27,1.11,290,240,450,240
2004,1.41,880,1.51,880,360,1.32,1.17,310,250,480,240
2005,1.48,920,1.61,920,380,1.42,1.26,340,260,500,270
2006,1.55,980,1.68,1.02,410,1.57,1.37,360,280,520,280
2007,1.61,1.09,1.81,1.1,440,1.73,1.54,400,290,570,300
2008,1.71,1.15,1.96,1.17,480,1.89,1.65,430,320,620,320
2009,1.8,1.26,2.09,1.22,520,2.06,1.72,470,340,630,340
2010,1.88,1.29,2.13,1.29,580,2.15,1.82,510,340,640,370
2011,1.96,1.37,2.25,1.4,620,2.35,1.93,580,370,720,420
2012,2.03,1.43,2.33,1.46,640,2.46,1.98,590,400,750,430
2013,2.1,1.56,2.43,1.52,710,2.62,2.02,600,410,820,440
2014,2.17,1.63,2.52,1.57,690,2.76,2.05,630,430,820,460
2015,2.22,1.7,2.72,1.67,770,2.87,2.11,660,480,860,490
2016,2.24,1.79,2.78,1.69,760,2.9,2.17,690,490,890,510
2017,2.4,1.89,2.82,1.82,820,3.06,2.22,710,480,920,540
2018,2.57,1.97,2.95,1.91,870,3.37,2.33,730,510,920,590
2019,2.69,2.14,3.09,2.02,930,3.54,2.52,800,540,980,640
2020,2.82,2.29,3.23,2.12,930,3.67,2.61,830,590,990,670
2021,3.03,2.48,3.41,2.19,980,3.88,2.69,850,620,1.07,710
