,id_neighborhood,region,neighborhoods
0,1,Breda centrum,Valkenberg
1,2,Breda centrum,Chassé
2,3,Breda centrum,Fellenoord
3,4,Breda centrum,Schorsmolen
4,5,Breda centrum,Station
5,6,Breda centrum,City
6,7,Breda noord,Belcrum
7,8,Breda noord,Doornbos-Linie
8,9,Breda noord,Biesdonk
9,10,Breda noord,Geeren-Zuid
10,11,Breda noord,Wisselaar
11,12,Breda noord,Krogten
12,13,Breda noord,Geeren-Noord
13,14,Breda noord,Waterdonken
14,15,Breda oost,Brabantpark
15,16,Breda oost,Sportpark
16,17,Breda oost,Zandberg
17,18,Breda oost,Heusdenhout
18,19,Breda oost,Moleneind-oost
19,20,Breda oost,Hoogeind
20,21,Breda zuid-oost,Blauwe Kei
21,22,Breda zuid-oost,Ypelaar
22,23,Breda zuid-oost,Overakker
23,24,Breda zuid-oost,Ginneken
24,25,Breda zuid-oost,Mastbos
25,26,Breda zuid,Boeimeer
26,27,Breda zuid,Ruitersbos
27,28,Breda west,Haagpoort
28,29,Breda west,Heuvel
29,30,Breda west,Tuinzigt
30,31,Breda west,Princenhage
31,32,Breda west,Westerpark
32,33,Breda west,Heilaar
33,34,Breda west,Hazeldonk
34,35,Breda west,Steenakker
35,36,Breda west,Effen-Rith
36,37,Breda west,Liesbos
37,38,Breda noord-west,Gageldonk
38,39,Breda noord-west,Kievitsloop
39,40,Breda noord-west,Kesteren
40,41,Breda noord-west,Muizenberg
41,42,Breda noord-west,Heksenwiel
42,43,Breda noord-west,Overkroeten
43,44,Breda noord-west,Kroeten
44,45,Bavel,Bavel
45,46,Bavel,Nieuw Wolfslaar
46,47,Bavel,Buitengebied Bavel
47,48,Breda noord-west,Emer
48,49,Breda noord-west,Hagebeemd
49,50,Ulvenhout,Ulvenhout
50,51,Ulvenhout,Buitengebied Ulvenhout
51,52,Prinsenbeek,Prinsenbeek
52,53,Prinsenbeek,Buitengebied Prinsenbeek
53,54,Teteringen,Teteringen
54,55,Teteringen,Vuchtpolder
55,56,Teteringen,Buitengebied Teteringen
56,57,Breda noord,Doornbos
57,58,Breda noord,Linie
58,59,Breda Totaal,Breda Totaal
59,60,Buitengebied,Buitengebied Breda
60,61,Overig,Overig
