,id_question,question_description,subquestion_description,abbreviated_question
0,1,Where or when was this?,When finding a (rental) house (recalculated without N/A),Unfairly/unequally treated when finding a (rental) house (recalculated without N/A)
1,2,To what extent do you agree or disagree with the following statements about the municipality?,The municipality appeals to local residents to contribute to quality of life and safety. (recalculated without N/A),The municipality appeals to local residents to contribute to quality of life and safety (recalculated without N/A)
2,3,"If you need help or care, you can fall back on:",people nearby,Can rely on people around
3,4,"If you need help or care, you can fall back on:",friends,Can rely on friends
4,5,Are you getting help with anything?,Your physical health,Get help with physical health
5,6,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,At the sports club,Meet the people from my neighborhood at the sports club
6,8,In which of the following associations / organizations have you been active in the past 12 months? Sports association,I have not been active in club life,Not active in community life
7,9,On what basis did you feel you were treated unfairly or unequally?,Disability / Chronic illness,Feeling unfair/unequally treated by gender
8,10,What do you think of the following statements about your current home?,The layout is suitable for me/my family.,Layout suitable for me/my family
9,11,What have you done in the past 12 months and what would you like to do for your neighbourhood?,Help with the maintenance of public green spaces.,Help with maintenance of public green spaces
10,12,Would you like to indicate with a score how satisfied or dissatisfied you are with:,road safety in the area,Satisfied with the road safety in the neighbourhood
11,13,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,Local residents treat each other in a pleasant way.,Local residents treat each other in a pleasant way
12,14,On what basis did you feel you were treated unfairly or unequally?,Life beliefs / religion / faith,Feeling of being treated unfairly/unequally on belief/religion
13,15,Why didn't you report it to the municipality?,I didn't know you could report this to the municipality,Didn't know you could report it to the council
14,16,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?",Damage or destruction to cars and theft from,Been a victim of damage/destruction to cars
15,17,Do you have for your home:,Do you have: a burglar alarm system,Burglar alarm system for my home
16,19,"Has your neighborhood changed in the past 2 years in terms of appearance, atmosphere and/or safety?",The safety,Security has changed in my neighborhood
17,20,Can you manage well when it comes to:,establishing and maintaining social contacts,Can cope well with entering into and maintaining social contacts
18,21,The following statements are about the public space in your neighbourhood. Can you indicate for each statement to what extent you agree or disagree?,There is plenty of greenery in my neighbourhood.,There is plenty of greenery in my neighbourhood
19,22,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Drunk people on the street,Drunk people on the street is (sometimes) common in my neighborhood
20,23,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I feel at home with the people who live in the area.,Feel at home with the people who live in the area
21,24,Are you someone who,manages to get through difficult times,Knows how to get through difficult times
22,25,Where or when was this?,At School / Training / Internship (recalculated without N/A),Unfair/unequally treated at school/education/internship (recalculated without N/A)
23,26,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,Elsewhere:,Meet the people from my neighborhood somewhere else
24,27,To what extent do you agree with the following statements?,In the past year I have started to feel more involved in the neighborhood where I live,Feels more involved with the neighborhood where I live
25,28,Please indicate the extent to which each of the following statements applies to you as you have been lately?,There are enough people with whom I feel close.,Enough people with whom I feel closely connected
