,id_response,response_option,response_description
0,1,1.0,Yes
1,2,2.0,No
2,3,3.0,Do not know / no opinion
3,4,1.0,Yes
4,5,2.0,No
5,6,3.0,Do not know / no opinion
6,7,1.0,I did
7,8,2.0,"Not done yet, but I'm ready"
8,9,3.0,I didn't and I don't want to
9,10,4.0,do not know yet
10,11,1.0,I did
11,12,2.0,"Not done yet, but I'm ready"
12,13,3.0,I didn't and I don't want to
13,14,4.0,do not know yet
14,15,1.0,I did
15,16,2.0,"Not done yet, but I'm ready"
16,17,3.0,I didn't and I don't want to
17,18,4.0,do not know yet
18,19,1.0,I did
19,20,2.0,"Not done yet, but I'm ready"
20,21,3.0,I didn't and I don't want to
21,22,4.0,do not know yet
22,23,1.0,I did
23,24,2.0,"Not done yet, but I'm ready"
24,25,3.0,I didn't and I don't want to
25,26,4.0,do not know yet
26,27,1.0,Yes
27,28,2.0,No
28,29,1.0,New Hawthorn
29,30,10.0,Liesbos
30,31,11.0,Pekhoeve
31,32,12.0,Vianden
32,33,13.0,Poelewei
33,34,14.0,3 Linden
34,35,15.0,Geeren-North
35,36,16.0,Scheldestraat
36,37,17.0,Crow's nest
37,38,18.0,Signpost
38,39,19.0,Die
39,40,2.0,House of the Hill
40,41,20.0,Biesdonk
41,42,21.0,Zandberg
42,43,22.0,Kievietslaar
43,44,23.0,The Blaker
44,45,24.0,silver birch
45,46,25.0,Geeren South (ONS)
46,47,26.0,Toma (Batu Karang)
47,48,27.0,Don't know
48,49,3.0,northern Lights
49,50,4.0,æt Web
50,51,5.0,Olympia
51,52,6.0,Beemdentil
52,53,7.0,Belcrum
53,54,8.0,æt Monastery
54,55,9.0,The cow
55,56,1.0,(almost every day
56,57,2.0,(almost) Every week
57,58,3.0,(almost) Every month
58,59,4.0,(almost) Every 3 months
59,60,5.0,1 or 2 times
60,61,0.0,Not Answered
61,62,1.0,Answered
62,64,0.0,Not Answered
63,65,1.0,Answered
64,66,0.0,Not Answered
65,67,1.0,Answered
66,68,0.0,Not Answered
67,69,1.0,Answered
68,70,0.0,Not Answered
69,71,1.0,Answered
70,72,0.0,Not Answered
71,73,1.0,Answered
72,74,0.0,Not Answered
73,75,1.0,Answered
74,76,0.0,Not Answered
75,77,1.0,Answered
76,78,0.0,Not Answered
77,79,1.0,Answered
78,80,1.0,occurs often
79,81,2.0,sometimes occurs
80,82,3.0,(almost) never occurs
81,83,4.0,Do not know / no opinion
82,84,1.0,occurs often
83,85,2.0,sometimes occurs
84,86,3.0,(almost) never occurs
85,87,4.0,Do not know / no opinion
86,88,1.0,occurs often
87,89,2.0,sometimes occurs
88,90,3.0,(almost) never occurs
89,91,4.0,Do not know / no opinion
90,92,1.0,occurs often
91,93,2.0,sometimes occurs
92,94,3.0,(almost) never occurs
93,95,4.0,Do not know / no opinion
94,96,1.0,occurs often
95,97,2.0,sometimes occurs
96,98,3.0,(almost) never occurs
97,99,4.0,Do not know / no opinion
98,100,1.0,occurs often
99,101,2.0,sometimes occurs
100,102,3.0,(almost) never occurs
101,103,4.0,Do not know / no opinion
102,104,1.0,occurs often
103,105,2.0,sometimes occurs
104,106,3.0,(almost) never occurs
105,107,4.0,Do not know / no opinion
106,108,1.0,occurs often
107,109,2.0,sometimes occurs
108,110,3.0,(almost) never occurs
109,111,4.0,Do not know / no opinion
110,112,1.0,occurs often
111,113,2.0,sometimes occurs
112,114,3.0,(almost) never occurs
113,115,4.0,Do not know / no opinion
114,116,1.0,occurs often
115,117,2.0,sometimes occurs
116,118,3.0,(almost) never occurs
117,119,4.0,Do not know / no opinion
118,120,1.0,occurs often
119,121,2.0,sometimes occurs
120,122,3.0,(almost) never occurs
121,123,4.0,Do not know / no opinion
122,124,1.0,occurs often
123,125,2.0,sometimes occurs
124,126,3.0,(almost) never occurs
125,127,4.0,Do not know / no opinion
126,128,1.0,occurs often
127,129,2.0,sometimes occurs
128,130,3.0,(almost) never occurs
129,131,4.0,Do not know / no opinion
130,132,1.0,occurs often
131,133,2.0,sometimes occurs
132,134,3.0,(almost) never occurs
133,135,4.0,Do not know / no opinion
134,136,1.0,occurs often
135,137,2.0,sometimes occurs
136,138,3.0,(almost) never occurs
137,139,4.0,Do not know / no opinion
138,140,1.0,occurs often
139,141,2.0,sometimes occurs
140,142,3.0,(almost) never occurs
141,143,4.0,Do not know / no opinion
142,144,1.0,occurs often
143,145,2.0,sometimes occurs
144,146,3.0,(almost) never occurs
145,147,4.0,Do not know / no opinion
146,148,1.0,occurs often
147,149,2.0,sometimes occurs
148,150,3.0,(almost) never occurs
149,151,4.0,Do not know / no opinion
150,152,1.0,occurs often
151,153,2.0,sometimes occurs
152,154,3.0,(almost) never occurs
153,155,4.0,Do not know / no opinion
154,156,1.0,Yes
155,157,2.0,No
156,158,3.0,Do not know / no opinion
157,159,1.0,Often
158,160,2.0,Sometimes
159,161,3.0,Seldom
160,162,4.0,Do not know / no opinion
161,163,1.0,Yes
162,164,2.0,No
163,165,3.0,Do not know / no opinion
164,166,1.0,Often
165,167,2.0,Sometimes
166,168,3.0,Seldom
167,169,4.0,Do not know / no opinion
168,170,1.0,occurs often
169,171,2.0,sometimes occurs
170,172,3.0,(almost) never occurs
171,173,4.0,Do not know / no opinion
172,174,1.0,occurs often
173,175,2.0,sometimes occurs
174,176,3.0,(almost) never occurs
175,177,4.0,Do not know / no opinion
176,178,1.0,occurs often
177,179,2.0,sometimes occurs
178,180,3.0,(almost) never occurs
179,181,4.0,Do not know / no opinion
180,182,1.0,occurs often
181,183,2.0,sometimes occurs
182,184,3.0,(almost) never occurs
183,185,4.0,Do not know / no opinion
184,186,1.0,occurs often
185,187,2.0,sometimes occurs
186,188,3.0,(almost) never occurs
187,189,4.0,Do not know / no opinion
188,190,1.0,occurs often
189,191,2.0,sometimes occurs
190,192,3.0,(almost) never occurs
191,193,4.0,Do not know / no opinion
192,194,1.0,no
193,195,2.0,"yes, in your own neighbourhood"
194,196,3.0,"yes, elsewhere in the municipality"
195,197,4.0,"yes, but not in your own community"
196,198,1.0,no
197,199,2.0,"yes, in your own neighbourhood"
198,200,3.0,"yes, elsewhere in the municipality"
199,201,4.0,"yes, but not in your own community"
200,202,1.0,no
201,203,2.0,"yes, in your own neighbourhood"
202,204,3.0,"yes, elsewhere in the municipality"
203,205,4.0,"yes, but not in your own community"
204,206,1.0,no
205,207,2.0,"yes, in your own neighbourhood"
206,208,3.0,"yes, elsewhere in the municipality"
207,209,4.0,"yes, but not in your own community"
208,210,1.0,no
209,211,2.0,"yes, in your own neighbourhood"
210,212,3.0,"yes, elsewhere in the municipality"
211,213,4.0,"yes, but not in your own community"
212,214,1.0,no
213,215,2.0,"yes, in your own neighbourhood"
214,216,3.0,"yes, elsewhere in the municipality"
215,217,4.0,"yes, but not in your own community"
216,218,1.0,no
217,219,2.0,"yes, in your own neighbourhood"
218,220,3.0,"yes, elsewhere in the municipality"
219,221,4.0,"yes, but not in your own community"
220,222,1.0,no
221,223,2.0,"yes, in your own neighbourhood"
222,224,3.0,"yes, elsewhere in the municipality"
223,225,4.0,"yes, but not in your own community"
224,226,1.0,no
225,227,2.0,"yes, in your own neighbourhood"
226,228,3.0,"yes, elsewhere in the municipality"
227,229,4.0,"yes, but not in your own community"
228,230,1.0,no
229,231,2.0,"yes, in your own neighbourhood"
230,232,3.0,"yes, elsewhere in the municipality"
231,233,4.0,"yes, but not in your own community"
232,234,1.0,no
233,235,2.0,"yes, in your own neighbourhood"
234,236,3.0,"yes, elsewhere in the municipality"
235,237,4.0,"yes, but not in your own community"
236,238,1.0,no
237,239,2.0,"yes, in your own neighbourhood"
238,240,3.0,"yes, elsewhere in the municipality"
239,241,4.0,"yes, but not in your own community"
240,242,1.0,no
241,243,2.0,"yes, in your own neighbourhood"
242,244,3.0,"yes, elsewhere in the municipality"
243,245,4.0,"yes, but not in your own community"
244,246,1.0,Yes
245,247,2.0,no
246,248,1.0,Yes
247,249,2.0,no
248,250,1.0,Yes
249,251,2.0,no
250,252,1.0,Yes
251,253,2.0,no
252,254,1.0,Yes
253,255,2.0,no
254,256,1.0,Yes
255,257,2.0,no
256,258,1.0,Yes
257,259,2.0,no
258,261,1.0,Yes
259,262,2.0,no
260,263,1.0,Yes
261,264,2.0,no
262,265,1.0,Yes
263,266,2.0,no
264,267,1.0,"Yes, I bought or sold these goods/services online"
265,268,2.0,"No, I have not bought or sold these goods online"
266,269,1.0,Yes
267,270,2.0,no
268,271,1.0,Yes
269,272,2.0,no
270,274,1.0,does not occur
271,275,2.0,occurs and scares me
272,276,3.0,occurs and makes me angry
273,277,4.0,occurs and gives me a different emotion
274,278,5.0,occurs and does not affect me much
275,279,6.0,don't know if it happens
276,280,1.0,does not occur
277,281,2.0,occurs and scares me
278,282,3.0,occurs and makes me angry
279,283,4.0,occurs and gives me a different emotion
280,284,5.0,occurs and does not affect me much
281,285,6.0,don't know if it happens
282,286,1.0,does not occur
283,287,2.0,occurs and scares me
284,288,3.0,occurs and makes me angry
285,289,4.0,occurs and gives me a different emotion
286,290,5.0,occurs and does not affect me much
287,291,6.0,don't know if it happens
288,292,1.0,does not occur
289,293,2.0,occurs and scares me
290,294,3.0,occurs and makes me angry
291,295,4.0,occurs and gives me a different emotion
292,296,5.0,occurs and does not affect me much
293,297,6.0,don't know if it happens
294,298,1.0,does not occur
295,299,2.0,occurs and scares me
296,300,3.0,occurs and makes me angry
297,301,4.0,occurs and gives me a different emotion
298,302,5.0,occurs and does not affect me much
299,303,6.0,don't know if it happens
300,304,1.0,does not occur
301,305,2.0,occurs and scares me
302,306,3.0,occurs and makes me angry
303,307,4.0,occurs and gives me a different emotion
304,308,5.0,occurs and does not affect me much
305,309,6.0,don't know if it happens
306,310,1.0,does not occur
307,311,2.0,occurs and scares me
308,312,3.0,occurs and makes me angry
309,313,4.0,occurs and gives me a different emotion
310,314,5.0,occurs and does not affect me much
311,315,6.0,don't know if it happens
312,316,1.0,does not occur
313,317,2.0,occurs and scares me
314,318,3.0,occurs and makes me angry
315,319,4.0,occurs and gives me a different emotion
316,320,5.0,occurs and does not affect me much
317,321,6.0,don't know if it happens
318,322,1.0,does not occur
319,323,2.0,occurs and scares me
320,324,3.0,occurs and makes me angry
321,325,4.0,occurs and gives me a different emotion
322,326,5.0,occurs and does not affect me much
323,327,6.0,don't know if it happens
324,328,5.0,"3,500 and more per month"
325,329,6.0,No answer
326,330,4.0,"2,150 to 3,500 per month"
327,332,0.0,Not Answered
328,333,1.0,Answered
329,334,0.0,Not Answered
330,335,1.0,Answered
331,336,0.0,Not Answered
332,337,1.0,Answered
333,338,0.0,Not Answered
334,339,1.0,Answered
335,340,0.0,Not Answered
336,341,1.0,Answered
337,343,1.0,Yes
338,344,2.0,"No, not in my own neighborhood but in Breda"
339,345,3.0,No
340,346,4.0,Do not know / no opinion
341,361,1.0,
342,362,10.0,10
343,363,2.0,
344,364,3.0,
345,365,4.0,
346,366,5.0,
347,367,6.0,
348,368,7.0,
349,369,8.0,
350,370,9.0,
351,371,1.0,totally agree
352,372,2.0,at sometime
353,373,3.0,"not agree, not disagree"
354,374,4.0,disagree
355,375,5.0,totally disagree
356,376,6.0,don't know/not applicable
357,377,1.0,totally agree
358,378,2.0,at sometime
359,379,3.0,"not agree, not disagree"
360,380,4.0,disagree
361,381,5.0,totally disagree
362,382,6.0,don't know/not applicable
363,383,1.0,totally agree
364,384,2.0,at sometime
365,385,3.0,"not agree, not disagree"
366,386,4.0,disagree
367,387,5.0,totally disagree
368,388,6.0,don't know/not applicable
369,389,1.0,totally agree
370,390,2.0,at sometime
371,391,3.0,"not agree, not disagree"
372,392,4.0,disagree
373,393,5.0,totally disagree
374,394,6.0,don't know/not applicable
375,395,1.0,totally agree
376,396,2.0,at sometime
377,397,3.0,"not agree, not disagree"
378,398,4.0,disagree
379,399,5.0,totally disagree
380,400,6.0,don't know/not applicable
381,401,1.0,totally agree
382,402,2.0,at sometime
383,403,3.0,"not agree, not disagree"
384,404,4.0,disagree
385,405,5.0,totally disagree
386,406,6.0,don't know/not applicable
387,407,1.0,
388,408,10.0,10
389,409,11.0,Do not know / no opinion
390,410,2.0,
391,411,3.0,
392,412,4.0,
393,413,5.0,
394,414,6.0,
395,415,7.0,
396,416,8.0,
397,417,9.0,
398,418,1.0,totally agree
399,419,2.0,at sometime
400,420,3.0,"not agree, not disagree"
401,421,4.0,disagree
402,422,5.0,totally disagree
403,423,6.0,Do not know / no opinion
404,424,1.0,totally agree
405,425,2.0,at sometime
406,426,3.0,"not agree, not disagree"
407,427,4.0,disagree
408,428,5.0,totally disagree
409,429,6.0,Do not know / no opinion
410,430,1.0,
411,431,10.0,10
412,432,11.0,Do not know / no opinion
413,433,2.0,
414,434,3.0,
415,435,4.0,
416,436,5.0,
417,437,6.0,
418,438,7.0,
419,439,8.0,
420,440,9.0,
421,441,1.0,very satisfied
422,442,2.0,satisfied
423,443,3.0,not satisfied/not dissatisfied
424,444,4.0,dissatisfied
425,445,5.0,very dissatisfied
426,446,6.0,Do not know / no opinion
427,447,1.0,very satisfied
428,448,2.0,satisfied
429,449,3.0,not satisfied/not dissatisfied
430,450,4.0,dissatisfied
431,451,5.0,very dissatisfied
432,452,6.0,Do not know / no opinion
433,453,1.0,very satisfied
434,454,2.0,satisfied
435,455,3.0,not satisfied/not dissatisfied
436,456,4.0,dissatisfied
437,457,5.0,very dissatisfied
438,458,6.0,Do not know / no opinion
439,459,1.0,very satisfied
440,460,2.0,satisfied
441,461,3.0,not satisfied/not dissatisfied
442,462,4.0,dissatisfied
443,463,5.0,very dissatisfied
444,464,6.0,Do not know / no opinion
445,465,1.0,very satisfied
446,466,2.0,satisfied
447,467,3.0,not satisfied/not dissatisfied
448,468,4.0,dissatisfied
449,469,5.0,very dissatisfied
450,470,6.0,Do not know / no opinion
451,471,1.0,very satisfied
452,472,2.0,satisfied
453,473,3.0,not satisfied/not dissatisfied
454,474,4.0,dissatisfied
455,475,5.0,very dissatisfied
456,476,6.0,Do not know / no opinion
457,477,1.0,very satisfied
458,478,2.0,satisfied
459,479,3.0,not satisfied/not dissatisfied
460,480,4.0,dissatisfied
461,481,5.0,very dissatisfied
462,482,6.0,Do not know / no opinion
463,485,1.0,totally agree
464,486,2.0,agree
465,487,3.0,neutral
466,488,4.0,do not agree with
467,489,5.0,totally disagree
468,490,6.0,Do not know / no opinion
469,491,1.0,totally agree
470,492,2.0,agree
471,493,3.0,neutral
472,494,4.0,do not agree with
473,495,5.0,totally disagree
474,496,6.0,Do not know / no opinion
475,497,1.0,totally agree
476,498,2.0,agree
477,499,3.0,neutral
478,500,4.0,do not agree with
479,501,5.0,totally disagree
480,502,6.0,Do not know / no opinion
481,503,1.0,totally agree
482,504,2.0,agree
483,505,3.0,neutral
484,506,4.0,do not agree with
485,507,5.0,totally disagree
486,508,6.0,Do not know / no opinion
487,509,1.0,totally agree
488,510,2.0,agree
489,511,3.0,neutral
490,512,4.0,do not agree with
491,513,5.0,totally disagree
492,514,6.0,Do not know / no opinion
493,515,1.0,totally agree
494,516,2.0,agree
495,517,3.0,neutral
496,518,4.0,do not agree with
497,519,5.0,totally disagree
498,520,6.0,Do not know / no opinion
499,521,1.0,totally agree
500,522,2.0,agree
501,523,3.0,neutral
502,524,4.0,do not agree with
503,525,5.0,totally disagree
504,526,6.0,Do not know / no opinion
505,527,1.0,totally agree
506,528,2.0,agree
507,529,3.0,neutral
508,530,4.0,do not agree with
509,531,5.0,totally disagree
510,532,6.0,Do not know / no opinion
511,533,1.0,totally agree
512,534,2.0,agree
513,535,3.0,neutral
514,536,4.0,do not agree with
515,537,5.0,totally disagree
516,538,6.0,Do not know / no opinion
517,539,1.0,totally agree
518,540,2.0,agree
519,541,3.0,neutral
520,542,4.0,do not agree with
521,543,5.0,totally disagree
522,544,6.0,Do not know / no opinion
523,545,1.0,totally agree
524,546,2.0,agree
525,547,3.0,neutral
526,548,4.0,do not agree with
527,549,5.0,totally disagree
528,550,6.0,Do not know / no opinion
529,551,1.0,totally agree
530,552,2.0,agree
531,553,3.0,neutral
532,554,4.0,do not agree with
533,555,5.0,totally disagree
534,556,6.0,Do not know / no opinion
535,557,1.0,totally agree
536,558,2.0,agree
537,559,3.0,neutral
538,560,4.0,do not agree with
539,561,5.0,totally disagree
540,562,6.0,Do not know / no opinion
541,563,1.0,
542,564,10.0,10
543,565,2.0,
544,566,3.0,
545,567,4.0,
546,568,5.0,
547,569,6.0,
548,570,7.0,
549,571,8.0,
550,572,9.0,
551,573,1.0,improved
552,574,2.0,stayed the same
553,575,3.0,deteriorated
554,576,4.0,Do not know / no opinion
555,577,1.0,improved
556,578,2.0,stayed the same
557,579,3.0,deteriorated
558,580,4.0,Do not know / no opinion
559,581,1.0,improved
560,582,2.0,stayed the same
561,583,3.0,deteriorated
562,584,4.0,Do not know / no opinion
563,585,1.0,Forward
564,586,2.0,Stayed the same
565,587,3.0,Backwards
