regions,neighborhood,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Breda centrum,Valkenberg,180,190,180,180,200,200,210,220,240,270,270,260,270,290,310,310,320,340,360,390,420
Breda centrum,Chass,300,300,290,310,320,340,370,390,420,450,450,460,470,470,480,470,480,510,500,520,570
Breda centrum,Fellenoord,50,50,50,50,60,60,50,60,70,70,80,90,90,100,90,100,90,100,130,160,200
Breda centrum,Schorsmolen,190,190,190,190,190,200,210,230,220,230,250,260,270,290,300,310,320,360,380,410,430
Breda centrum,Station,140,130,130,130,130,140,150,150,180,200,220,260,290,310,360,370,470,540,560,530,570
Breda centrum,City,570,570,560,560,580,610,630,660,680,670,700,700,700,710,700,680,720,730,760,820,860
Breda noord,Belcrum,150,160,160,160,190,190,210,240,240,250,250,260,280,300,310,340,400,400,440,470,490
Breda noord,Doornbos-Linie,170,160,170,170,160,170,190,210,230,240,260,290,310,310,320,330,350,370,380,410,480
Breda noord,Biesdonk,130,130,140,150,140,150,170,180,190,190,210,210,210,240,230,250,270,270,300,320,340
Breda noord,Geeren-zuid,110,120,110,110,110,120,130,120,130,140,140,150,190,170,170,180,190,200,230,260,270
Breda noord,Wisselaar,60,60,60,60,60,80,90,100,120,110,120,120,130,140,170,160,180,200,220,230,250
Breda noord,Krogten,190,200,210,210,220,220,240,240,270,280,290,290,310,320,330,350,330,350,360,370,410
Breda noord,Geeren-noord,30,30,30,30,40,50,50,60,70,80,80,80,90,90,90,100,90,100,120,130,140
Breda noord,Waterdonken,,,,,,0,0,0,0,10,20,40,60,60,80,80,80,80,100,100,100
Breda oost,Brabantpark,440,450,430,410,450,460,520,550,570,590,620,680,710,730,760,780,800,850,930,990,1090
Breda oost,Sportpark,150,160,160,170,200,220,250,280,320,330,360,350,390,410,450,450,460,490,510,520,560
Breda oost,Zandberg,480,450,470,470,490,500,520,560,610,620,660,690,700,720,760,750,800,840,860,900,950
Breda oost,Heusdenhout,170,170,170,170,170,190,190,210,230,230,260,260,270,260,300,320,330,350,360,390,390
Breda oost,Moleneind-oost,110,110,100,100,100,100,110,130,130,110,110,100,120,160,230,230,180,140,140,130,140
Breda oost,Hoogeind,110,120,150,180,200,210,220,230,240,240,240,250,250,230,230,250,270,290,290,300,300
Breda zuid-oost,Blauwe Kei,150,160,170,170,180,200,210,220,230,230,250,270,290,280,290,310,340,340,380,400,410
Breda zuid-oost,Ypelaar,190,200,190,190,210,230,250,280,290,300,320,350,370,390,420,410,420,470,490,500,530
Breda zuid-oost,Overakker,110,110,120,120,130,150,160,160,170,190,210,220,220,230,260,250,280,300,320,330,330
Breda zuid-oost,Ginneken,360,370,360,370,380,410,450,470,490,530,560,590,590,620,650,670,720,750,770,810,830
Breda zuid-oost,Mastbos,30,30,40,40,40,40,40,40,40,50,60,50,60,60,60,60,60,60,60,80,100
Breda zuid,Boeimeer,190,200,210,220,230,260,270,300,330,380,420,430,480,480,520,490,510,540,580,590,610
Breda zuid,Ruitersbos,130,140,140,140,150,160,170,180,190,200,210,220,230,220,250,270,310,330,340,350,360
Breda west,Haagpoort,50,50,60,60,60,60,70,90,100,110,120,120,130,140,140,130,140,150,170,180,180
Breda west,Heuvel,140,130,150,150,160,200,210,240,290,300,330,370,420,480,530,550,580,620,620,650,710
Breda west,Tuinzigt,290,310,310,320,340,390,430,470,520,520,550,590,620,620,630,630,660,720,800,820,860
