,index,neighborhood,regions,year,livability_score,income,population,working_population,total_job_growth
0,774,Bavel,Bavel,2014,430,4400,5395,3970,"-7,9%"
1,102,Bavel,Bavel,2002,260,4400,5395,3970,"-7,9%"
2,1054,Bavel,Bavel,2019,510,4400,5395,3970,"-7,9%"
3,382,Bavel,Bavel,2007,300,4400,5395,3970,"-7,9%"
4,158,Bavel,Bavel,2003,260,4400,5395,3970,"-7,9%"
5,1110,Bavel,Bavel,2020,530,4400,5395,3970,"-7,9%"
6,718,Bavel,Bavel,2013,400,4400,5395,3970,"-7,9%"
7,662,Bavel,Bavel,2012,400,4400,5395,3970,"-7,9%"
8,1166,Bavel,Bavel,2021,530,4400,5395,3970,"-7,9%"
9,886,Bavel,Bavel,2016,470,4400,5395,3970,"-7,9%"
10,326,Bavel,Bavel,2006,290,4400,5395,3970,"-7,9%"
11,270,Bavel,Bavel,2005,280,4400,5395,3970,"-7,9%"
12,438,Bavel,Bavel,2008,320,4400,5395,3970,"-7,9%"
13,606,Bavel,Bavel,2011,390,4400,5395,3970,"-7,9%"
14,998,Bavel,Bavel,2018,480,4400,5395,3970,"-7,9%"
15,550,Bavel,Bavel,2010,360,4400,5395,3970,"-7,9%"
16,46,Bavel,Bavel,2001,250,4400,5395,3970,"-7,9%"
17,942,Bavel,Bavel,2017,470,4400,5395,3970,"-7,9%"
18,214,Bavel,Bavel,2004,260,4400,5395,3970,"-7,9%"
19,830,Bavel,Bavel,2015,450,4400,5395,3970,"-7,9%"
20,494,Bavel,Bavel,2009,340,4400,5395,3970,"-7,9%"
21,398,Belcrum,Breda noord,2008,240,2700,4005,3070,10.10%
22,678,Belcrum,Breda noord,2013,280,2700,4005,3070,10.10%
23,1014,Belcrum,Breda noord,2019,440,2700,4005,3070,10.10%
24,902,Belcrum,Breda noord,2017,400,2700,4005,3070,10.10%
25,454,Belcrum,Breda noord,2009,240,2700,4005,3070,10.10%
26,734,Belcrum,Breda noord,2014,300,2700,4005,3070,10.10%
27,1126,Belcrum,Breda noord,2021,490,2700,4005,3070,10.10%
28,566,Belcrum,Breda noord,2011,250,2700,4005,3070,10.10%
29,118,Belcrum,Breda noord,2003,160,2700,4005,3070,10.10%
30,230,Belcrum,Breda noord,2005,190,2700,4005,3070,10.10%
31,6,Belcrum,Breda noord,2001,150,2700,4005,3070,10.10%
32,622,Belcrum,Breda noord,2012,260,2700,4005,3070,10.10%
33,286,Belcrum,Breda noord,2006,190,2700,4005,3070,10.10%
34,958,Belcrum,Breda noord,2018,400,2700,4005,3070,10.10%
