Year,Districts and neighbourhoods,Registered crimes (number)
2012,Breda,16589
2013,Breda,15155
2014,Breda,13951
2015,Breda,13191
2016,Breda,12441
2017,Breda,11175
2018,Breda,10414
2019,Breda,10960
2020,Breda,10895
2021,Breda,9878
2022,Breda,10752
2012,Breda centrum,4453
2013,Breda centrum,4120
2014,Breda centrum,3975
2015,Breda centrum,3445
2016,Breda centrum,3226
2017,Breda centrum,2884
2018,Breda centrum,2413
2019,Breda centrum,2673
2020,Breda centrum,2118
2021,Breda centrum,1785
2022,Breda centrum,2850
2012,Valkenberg,356
2013,Valkenberg,324
2014,Valkenberg,385
2015,Valkenberg,353
2016,Valkenberg,348
2017,Valkenberg,282
2018,Valkenberg,233
2019,Valkenberg,270
2020,Valkenberg,234
2021,Valkenberg,182
2022,Valkenberg,213
2012,Chassé,687
2013,Chassé,634
2014,Chassé,612
2015,Chassé,547
2016,Chassé,530
2017,Chassé,493
2018,Chassé,375
2019,Chassé,362
2020,Chassé,353
2021,Chassé,298
2022,Chassé,466
2012,Fellenoord,201
2013,Fellenoord,178
2014,Fellenoord,209
2015,Fellenoord,162
2016,Fellenoord,131
2017,Fellenoord,129
2018,Fellenoord,95
2019,Fellenoord,104
2020,Fellenoord,94
2021,Fellenoord,103
2022,Fellenoord,131
2012,Schorsmolen,462
2013,Schorsmolen,410
2014,Schorsmolen,407
2015,Schorsmolen,365
2016,Schorsmolen,362
2017,Schorsmolen,342
2018,Schorsmolen,343
2019,Schorsmolen,316
2020,Schorsmolen,276
2021,Schorsmolen,262
2022,Schorsmolen,388
2012,Station,572
2013,Station,474
2014,Station,529
2015,Station,324
2016,Station,372
2017,Station,350
2018,Station,325
2019,Station,410
2020,Station,298
2021,Station,311
2022,Station,461
2012,City,2175
2013,City,2100
2014,City,1833
2015,City,1694
2016,City,1483
2017,City,1288
2018,City,1042
2019,City,1211
2020,City,863
2021,City,629
2022,City,1191
2012,Breda noord,2013
2013,Breda noord,1844
2014,Breda noord,1798
2015,Breda noord,1813
2016,Breda noord,1758
2017,Breda noord,1541
2018,Breda noord,1578
2019,Breda noord,1645
2020,Breda noord,1838
2021,Breda noord,1676
2022,Breda noord,1765
2012,Belcrum,277
2013,Belcrum,234
2014,Belcrum,283
2015,Belcrum,313
2016,Belcrum,378
2017,Belcrum,300
2018,Belcrum,317
2019,Belcrum,329
2020,Belcrum,347
2021,Belcrum,330
2022,Belcrum,385
2012,Doornbos-Linie,393
2013,Doornbos-Linie,368
2014,Doornbos-Linie,264
2015,Doornbos-Linie,288
2016,Doornbos-Linie,280
2017,Doornbos-Linie,297
2018,Doornbos-Linie,265
2019,Doornbos-Linie,286
2020,Doornbos-Linie,286
2021,Doornbos-Linie,262
2022,Doornbos-Linie,290
2012,Biesdonk,470
2013,Biesdonk,402
2014,Biesdonk,417
2015,Biesdonk,471
2016,Biesdonk,391
2017,Biesdonk,301
2018,Biesdonk,313
2019,Biesdonk,339
2020,Biesdonk,424
2021,Biesdonk,376
2022,Biesdonk,408
2012,Geeren-zuid,147
2013,Geeren-zuid,161
2014,Geeren-zuid,165
2015,Geeren-zuid,152
2016,Geeren-zuid,141
2017,Geeren-zuid,136
2018,Geeren-zuid,142
2019,Geeren-zuid,161
2020,Geeren-zuid,166
2021,Geeren-zuid,174
2022,Geeren-zuid,127
2012,Wisselaar,166
2013,Wisselaar,164
2014,Wisselaar,153
2015,Wisselaar,150
2016,Wisselaar,165
2017,Wisselaar,129
2018,Wisselaar,128
2019,Wisselaar,144
2020,Wisselaar,170
2021,Wisselaar,145
2022,Wisselaar,126
2012,Krogten,369
2013,Krogten,370
2014,Krogten,359
2015,Krogten,286
2016,Krogten,265
2017,Krogten,253
2018,Krogten,288
2019,Krogten,239
2020,Krogten,279
2021,Krogten,258
2022,Krogten,298
2012,Geeren-noord,149
2013,Geeren-noord,121
2014,Geeren-noord,127
2015,Geeren-noord,109
2016,Geeren-noord,99
2017,Geeren-noord,93
2018,Geeren-noord,90
2019,Geeren-noord,129
2020,Geeren-noord,131
2021,Geeren-noord,104
2022,Geeren-noord,110
2012,Waterdonken,42
2013,Waterdonken,24
2014,Waterdonken,30
2015,Waterdonken,44
2016,Waterdonken,39
2017,Waterdonken,32
2018,Waterdonken,35
2019,Waterdonken,18
2020,Waterdonken,35
2021,Waterdonken,27
2022,Waterdonken,21
2012,Breda oost,1787
2013,Breda oost,1651
2014,Breda oost,1526
2015,Breda oost,1471
2016,Breda oost,1396
2017,Breda oost,1237
2018,Breda oost,1190
2019,Breda oost,1197
2020,Breda oost,1188
2021,Breda oost,1115
2022,Breda oost,1179
2012,Brabantpark,746
2013,Brabantpark,618
2014,Brabantpark,611
2015,Brabantpark,581
2016,Brabantpark,511
2017,Brabantpark,445
2018,Brabantpark,423
2019,Brabantpark,452
2020,Brabantpark,479
2021,Brabantpark,466
2022,Brabantpark,432
2012,Sportpark,338
2013,Sportpark,382
2014,Sportpark,362
2015,Sportpark,299
2016,Sportpark,297
2017,Sportpark,231
2018,Sportpark,216
2019,Sportpark,208
2020,Sportpark,197
2021,Sportpark,189
2022,Sportpark,230
